zakazchik,ispolnitel,uslugi,date_start,date_end,stoimost
Никитин Игорь Павлович,Морозов Владимир Николаевич,Восстановление Windows после сбоя + сохранение данных,25.09.2025,02.10.2025,4600
Федорова Надежда Михайловна,Петрова Анастасия Максимовна,Удаление вирусов + установка антивируса + настройка брандмауэра,29.10.2025,05.11.2025,3700
Козлов Владимир Дмитриевич,Никитина Любовь Алексеевна,Подключение и настройка сетевого принтера для офиса,03.10.2025,08.10.2025,2500
Борисова Елена Олеговна,Степанова Ксения Артемовна,"Ремонт лазерного МФУ (замена ролика захвата, чистка)",23.09.2025,27.09.2025,3900
Васильев Александр Дмитриевич,Смирнова Ирина Николаевна,Удаление вирусов + установка антивируса + настройка брандмауэра,20.09.2025,26.09.2025,4000
Зайцев Антон Артемович,Морозова Юлия Евгеньевна,Настройка домашней сети: Роутер + 2 репитера + обжим кабелей,18.10.2025,24.10.2025,5100
Михайлова Дарья Николаевна,Макаров Виктор Евгеньевич,Сборка игрового ПК под ключ + кабель-менеджмент,18.09.2025,24.09.2025,5200
Морозова Ирина Викторовна,Семенов Алексей Максимович,Удаление вирусов + установка антивируса + настройка брандмауэра,13.12.2025,18.12.2025,4100
Макарова Мария Андреевна,Егорова Анна Дмитриевна,Апгрейд ноутбука: установка SSD 512Gb + перенос Windows,05.11.2025,10.11.2025,6900
Семенов Олег Евгеньевич,Новиков Михаил Александрович,Апгрейд ноутбука: установка SSD 512Gb + перенос Windows,16.09.2025,20.09.2025,8400
Захаров Артем Николаевич,Андреева Вера Владимировна,Ремонт цепи питания материнской платы,14.10.2025,21.10.2025,6400
Семенова Екатерина Дмитриевна,Волкова Надежда Ивановна,Ремонт цепи питания материнской платы,12.09.2025,18.09.2025,5200
Захаров Сергей Николаевич,Захарова Людмила Михайловна,"Монтаж локальной сети (прокладка кабеля, установка розеток, настройка)",25.09.2025,30.09.2025,9000
Иванов Андрей Владимирович,Новиков Александр Александрович,Замена матрицы ноутбука (включая стоимость детали),19.10.2025,25.10.2025,8200
Федоров Денис Сергеевич,Захарова Надежда Юрьевна,Ремонт цепи питания материнской платы,15.11.2025,20.11.2025,5900
Петров Юрий Юрьевич,Егорова Дарья Андреевна,Настройка домашней сети: Роутер + 2 репитера + обжим кабелей,12.09.2025,14.09.2025,4600
Сидоров Павел Николаевич,Петрова Ольга Викторовна,"Комплексная чистка ноутбука (замена термопасты, чистка кулера)",24.10.2025,26.10.2025,3400
